objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237654881277247601,222.600460460913,4.61536585012714,5.159048,16.43014,15.48923,15.01258,0.04681206,AGN,10.73,0.1
1237654880740835563,223.68176046643,4.19763549336565,5.219207,18.31143,17.44588,17.03,0.1284054,AGN,10.28,0.2
1237654881277772013,223.901835054081,4.61910988816469,3.729278,18.49768,17.61059,17.18449,0.1288055,AGN,10.12,0.2
1237651823250309431,225.266315340264,4.30635683689995,4.009285,17.79476,16.92967,16.50353,0.08203979,AGN,10.5,0.2
1237654880741556428,225.299666500616,4.07302095952409,7.818079,18.5123,17.49012,17.02572,0.1570144,AGN,10.51,0.8
1237655371437375579,194.138920857294,63.269716966544,5.378485,18.23849,17.41263,17.00648,0.1316044,AGN,10.15,0.3
1237655463771177143,196.823214436331,61.2430689046257,5.877096,18.29065,17.32552,16.83818,0.1222935,AGN,10.37,0.3
1237655369826959394,194.95941768879,62.0694024008075,7.170098,16.63377,15.94274,15.56678,0.05286284,AGN,9.94,0.2
1237655465918660717,197.355520085688,62.8735058715907,5.420113,18.16816,17.3602,16.92919,0.1310462,AGN,10.53,2.8
1237655370901618760,199.473600197705,62.4608731602976,8.292639,17.3144,16.34715,15.83237,0.09669305,AGN,10.96,0.2
1237655463234830395,198.930285158887,60.6635501845952,3.718477,18.37081,17.45087,17.03033,0.1315774,AGN,10.28,0.1
1237655368754135248,198.738369172855,60.8040806340088,10.39617,17.07252,16.22069,15.72865,0.07693205,AGN,10.44,0.5
1237655464308179007,197.342398994488,61.5410104018327,5.088061,18.12085,17.38186,16.99886,0.09086544,AGN,9.88,0.1
1237655465382641817,201.265645625032,62.1052053238661,7.247183,17.02391,16.29018,15.89646,0.09552357,AGN,10.38,0.6
1237655464309293170,202.626138154582,60.968482235167,7.901725,16.96947,16.3609,15.99389,0.07193539,AGN,9.96,0.7
1237655347807584372,202.288675809695,60.9533480435336,4.510462,18.40934,17.47959,17.0395,0.1191097,AGN,10.54,0.3
1237655465919643728,202.048257576399,62.461968558426,5.868307,17.66198,16.88519,16.41557,0.09058887,AGN,10.34,1.4
1237655465382707344,201.601066355135,62.0787463488632,5.89877,17.48931,16.73237,16.29668,0.09780963,AGN,10.19,0.2
1237655464309620856,204.266153441637,60.8232903042926,6.257547,17.19936,16.41377,16.00235,0.08582434,AGN,10.3,0.2
1237655369828794504,203.55088062841,61.2144157073278,9.106647,16.82574,16.19284,15.86401,0.07248041,AGN,9.99,0.7
1237655371440521411,209.090951686923,61.4462545868424,7.267801,17.85237,17.00617,16.59092,0.1739935,AGN,10.64,1.9
1237655368756560093,209.491252824794,59.1925558552211,4.401746,17.25766,16.52647,16.15815,0.03705771,AGN,9.84,0.1
1237655464312111251,214.673692209792,58.7239323626539,7.39335,17.97859,17.1988,16.79631,0.1492175,AGN,10.42,1.1
1237655463774650434,211.803913608518,58.8556860715529,5.526407,18.22885,17.31408,16.89417,0.1706209,AGN,10.76,1.8
1237655464311193701,210.816536256348,59.5816129122512,5.339221,17.09682,16.3001,15.8797,0.0729033,AGN,10.6,0.2
1237655465385459867,213.79933177729,59.8621561440238,3.989814,18.55263,17.73342,17.30111,0.1548955,AGN,10.25,0.8
1237658424091541550,161.873137733127,7.2510551401061,27.29469,14.34343,13.55745,13.16242,0.0269342,AGN,10.75,1.0
1237658424091410625,161.593735781759,7.12538423975564,4.958777,18.9518,18.05174,17.51963,0.1116419,AGN,10.31,0.5
1237658300073836666,165.180253904393,7.61871091731523,6.185603,17.91749,17.10595,16.64807,0.1070095,AGN,10.11,0.2
1237658300610773128,165.349974036649,7.95431660265266,6.292614,17.60583,16.84047,16.39353,0.1261075,AGN,10.35,1.0
1237658424629657745,164.792336800148,7.80913348174934,9.839092,17.03325,16.05213,15.60717,0.1069208,AGN,11.26,0.1
1237658423557423225,168.283104957224,7.18311052210504,4.801564,18.18861,17.39562,16.97699,0.1517625,AGN,10.29,0.5
1237658423019831346,166.627727431708,6.55939048150489,13.78802,15.55289,14.83856,14.43983,0.04017753,AGN,10.39,2.0
1237661970640601236,166.485792367878,6.31740528852282,10.35782,16.75672,15.95554,15.53594,0.07456711,AGN,10.69,2.4
1237657589775990883,147.52870178593,47.8651518286882,4.314886,18.8308,17.80015,17.3252,0.1305055,AGN,10.37,0.2
1237657589240561756,152.183718859461,49.0557515424251,9.702396,17.09961,16.17587,15.71213,0.06892815,AGN,10.72,0.1
1237657632190169154,148.645076832469,50.2425924927274,5.661132,16.2517,15.61593,15.25566,0.05256029,AGN,9.97,0.4
1237657589777826012,153.286589613237,49.8600162450209,4.243127,18.55572,17.65841,17.20283,0.126341,AGN,10.27,0.4
1237657241900810329,152.956148245015,49.5868250145862,6.287642,18.31591,17.4278,17.02106,0.1325215,AGN,10.56,0.9
1237657590851502168,152.293603670058,50.5564908708196,6.662746,18.25102,17.24084,16.76682,0.2251519,AGN,10.85,5.1
1237660764830499505,115.800380346013,19.6289182620293,8.894694,17.54611,16.68019,16.23572,0.1198659,AGN,10.45,0.4
1237660957568401516,118.761779651754,21.8315410943544,3.645601,18.42251,17.60296,17.11699,0.09123579,AGN,9.94,0.1
1237661126145540523,118.741438588313,21.0855381032635,4.651748,18.56803,17.70062,17.23035,0.120138,AGN,10.09,0.3
1237660958106059157,119.972862366735,23.3900614302081,18.19217,14.43685,13.63854,13.19425,0.02914295,AGN,10.83,1.6
1237660635461845107,167.034585471809,45.9846101286027,22.39411,15.2613,14.52295,14.11625,0.03617289,AGN,10.69,0.3
1237661966350286953,166.698827612295,40.2516981147786,7.719385,17.26023,16.52929,16.06609,0.07510338,AGN,10.19,0.7
1237662193983946841,167.721011021204,40.6054441989963,7.305743,17.0144,16.02018,15.57563,0.09345677,AGN,11.05,0.4
1237661966350024823,165.915711445528,40.1575025581178,5.986271,17.78367,17.09419,16.66244,0.07822898,AGN,9.79,0.1
1237662195056640151,164.344117688227,40.9315407059085,11.91153,15.96226,15.21909,14.81562,0.0273208,AGN,9.97,0.3
1237662195593904319,165.420142755755,41.5720609219744,6.601195,17.79848,16.89931,16.44534,0.1157756,AGN,10.67,1.4
1237661967424028824,166.442226838154,41.0774903822315,4.823912,18.3087,17.54583,17.12764,0.1416902,AGN,10.23,0.7
1237661356465848430,169.220732381761,45.6304481939905,5.286586,18.39044,17.64793,17.21103,0.1016592,AGN,10.19,1.3
1237661357002391657,167.897199327737,45.862109999445,11.83596,16.64482,15.96206,15.62871,0.1117371,AGN,10.49,2.2
1237661358075674664,166.153646404005,46.4399102218124,2.949058,18.425,17.7288,17.30131,0.1419404,AGN,10.35,1.4
1237662193984405631,169.092223299748,40.8089795529299,4.799463,18.71194,17.81129,17.42787,0.1935244,AGN,10.5,1.3
